"fips","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"13303",334.5,0.0161750483558994,20680,30.4810650297954,1,0.956349206349206,114.5,23,66.45,75.953277279,9219.0853539,476.93304674,23.18413658,8.9775561097,4.2193786091,19.1,48,36.4,5.7,4270,13.634609389,15.226689478,13,3650,0.9465,0.9392,0.9261,0.8854,0.8968,0.8516,0.6208,0.3575,0.5221,0.5107,0.7778,0.7017,0.9163,0.4202,0.9678,0.1974,0.9386,0.7749,0.8609,0.9099
"13305",622,0.0207291874958342,30006,46.7533627147384,4,1,121,25.0555555555556,68.5,73.323688077,11070.399974,591.21968884,20.224268923,9.3527871306,4.0015054748,11.6,81,40.9,6.4,4650,15.386002448,14.522679663,12,7873,0.9188,0.8975,0.774,0.9526,0.8965,0.7377,0.6304,0.2311,0.8013,0.68,0.467,0.7287,0.6874,0.689,0.9223,0.2948,0.9573,0.4422,0.8771,0.8851
"13309",81,0.0102118003025719,7932,26.8440636535531,1,0.975409836065574,115.5,24.8611111111111,66.5,79.592118859,5428.2066573,340.97057937,25.28921333,9.6412556054,4.4155110479,10.3,37,32,6.3,1780,15.083861599,15.655853315,1,4348,0.8262,0.9172,0.9405,0.5947,0.9997,0.9083,0.1531,0.1394,0.0427,0.4639,0.8274,0.6017,0.844,0.333,0.9074,0.0376,0.9892,0.5174,0.8609,0.9981
"13313",2555,0.0246495518701822,103653,356.85558560292,23,0.934615384615385,112.5,21.25,59.25,78.228829229,6965.878623,379.12269394,22.81717774,7.7382792375,3.9327745128,12.4,141,34.5,8.1,9370,14.763429158,23.04366477,56,5001,0.894,0.8793,0.7348,0.8173,0.7402,0.9831,0.4282,0.1235,0.9214,0.121,0.7787,0.9303,0.8052,0.9688,0.8198,0.8099,0.5807,0.9491,0.5645,0.2289
"13315",162.5,0.0182913102206213,8884,23.5210435300472,18,0.98780487804878,119.5,24.5555555555556,69.6,75.837065586,9778.345116,467.57280802,21.858213411,12.057877814,3.9242683596,22.9,52,40.5,7.5,1510,15.330593807,17.282099344,1,7559,0.8169,0.8854,0.7902,0.6466,0.985,0.8876,0.3251,0.3789,0.1086,0.8141,0.4947,0.7017,0.8208,0.5158,0.7342,0.049,0.9637,0.524,0.4358,0.9876
"13317",167.5,0.0168782748891576,9924,21.1378325190957,3,0.964285714285714,116.5,21.25,63.2,75.549520655,10094.036624,522.84445712,23.982410968,9.3793103448,4.2774950376,20.6,24,30,6.1,1900,12.655680196,17.751400373,4,5285,0.872,0.9102,0.9316,0.7291,0.8752,0.8742,0.9013,0.8338,0.3871,0.7233,0.7071,0.843,0.8774,0.6956,0.3661,0.0876,0.8074,0.2429,0.9653,0.1792
"13319",172,0.0184707903780069,9312,20.8175393698907,10,0.987755102040816,119,22.8333333333333,64.6,74.60737235,10208.419477,539.10385167,20.872013002,12.531328321,3.9373287422,13.9,17,35.4,6.5,1600,13.405809948,13.433044451,3,5639,0.8061,0.7902,0.7867,0.5813,0.8707,0.7135,0.8656,0.5524,0.602,0.6103,0.8001,0.5759,0.836,0.298,0.5756,0.035,0.9647,0.6877,0.774,0.2174
"13321",397.5,0.0189393939393939,20988,36.7754639958177,23,0.9453125,113.5,24.7777777777778,68.2,75.369653781,10313.359091,486.60654082,19.906455523,13.194909578,3.8856633061,31,67,51,7.3,3380,14.49837357,17.10860879,6,5333,0.7784,0.8211,0.6705,0.6813,0.8185,0.8876,0.879,0.4575,0.5692,0.6864,0.8828,0.6036,0.7294,0.4524,0.3859,0.3642,0.9869,0.1968,0.6807,0.0885
"15003",1052.5,0.001066363795708,986999,1643.33982566244,17,0.92962962962963,115.5,23.7777777777778,66.4,82.475494564,5585.1254309,275.11580578,13.043364161,8.3997285821,3.1005353183,10.4,1579,23.4,8.3,103870,20.448085548,4.1260748609,894,2112,0.461,0.1226,0.1226,0.2588,0.0958,0.2209,0.0449,0.3575,0.369,0.121,0.1745,0.9758,0.9844,0.9255,0.9589,0.9936,0.0032,0.9834,0.8991,0.7453
"15009",141,0.000867927315703944,162456,139.863749567711,6,0.961685823754789,120,27.1666666666667,66.1,83.337298129,5343.1654977,254.02286135,12.860687397,7.6985592907,3.1082267003,9.9,304,24,8,16910,21.114037886,5.4173924499,146,1614,0.3836,0.1566,0.1382,0.3792,0.1344,0.1687,0.1289,0.2939,0.4893,0.1047,0.5247,0.9421,0.9666,0.8494,0.6371,0.9799,0.0146,0.9914,0.3814,0.4174
"16001",6423,0.0150846175886218,425798,404.551457631519,41,0.954372623574145,119,16.7222222222222,37,80.781476806,5088.3779692,256.64266175,11.474881999,6.5757177921,3.2099499124,7.9,187,25.6,8.1,52080,17.87623376,8.7432917648,428,2677,0.1681,0.1369,0.2795,0.2837,0.1544,0.0366,0.1442,0.1165,0.8211,0.0764,0.4413,0.5807,0.4744,0.6692,0.2521,0.8173,0.1751,0.3381,0.234,0.4527
"16005",314.5,0.00375231163872815,83815,75.3413980820885,2,0.996031746031746,124.5,13.6944444444444,34.7,76.856042438,8050.1298661,394.80224147,14.893500207,7.8007627412,4.0266672439,9.4,31,32,7.4,11510,15.820824662,10.723097628,64,2883,0.5521,0.5059,0.6651,0.5425,0.6094,0.1598,0.4734,0.1165,0.9077,0.4419,0.5339,0.419,0.4906,0.3715,0.737,0.7682,0.4101,0.6593,0.5033,0.6256
"16007",42,0.00708502024291498,5928,6.08020093940995,0,1,173.5,11.3333333333333,29.5,78.165464377,7515.9409961,322.89627335,13.549483693,9.8275862069,3.5711079551,7.7,0,26.4,7.7,750,15.144064261,10.239194293,5,2471,0.1706,0.255,0.4212,0.0993,0.6001,0.0672,0.5769,0.7529,0.9105,0.3445,0.1,0.29,0.2209,0.4273,0.0742,0.5113,0.2824,0.4527,0.1261,0.0707
"16011",160,0.00353505225249111,45261,21.6161036029997,2,0.98046875,122.5,13.5555555555556,34.6,76.816031621,8487.0603401,399.19492364,15.989554901,7.6264103636,3.8600775589,12.1,21,31.2,8,4740,13.877932892,14.816908647,15,3267,0.5221,0.5686,0.354,0.4616,0.8096,0.5683,0.4537,0.1394,0.9825,0.3521,0.5018,0.8064,0.6511,0.8625,0.2245,0.3025,0.5807,0.8819,0.1076,0.0704
"16013",560,0.0261352499183273,21427,8.12355798026454,6,0.958015267175573,119.5,11.9166666666667,33.1,86.188668786,3929.1404687,176.84031649,14.183349242,7.444668008,3.507514186,4.3,8,15.1,8,2300,17.283360211,17.693505338,23,2021,0.2926,0.149,0.3066,0.1191,0.0672,0.2999,0.3779,0.3684,0.6059,0.0092,0.8902,0.8214,0.616,0.9217,0.2611,0.8039,0.2652,0.4021,0.0786,0.4884
"16017",145,0.00350334629974148,41389,23.8828319418083,0,1,127.5,12.2222222222222,41.95,79.76023412,6378.181969,292.49147608,13.420599877,6.0945709282,3.7719804641,9.2,22,25.8,7.4,5860,15.447995324,13.295464901,26,1863,0.3225,0.3674,0.4575,0.3422,0.4772,0.2773,0.5199,0.8338,0.2353,0.5934,0.3827,0.1063,0.2229,0.0755,0.5158,0.7179,0.5909,0.7377,0.3298,0.1878
"16019",619.5,0.00568405985925185,108989,58.4095036164317,1,1,126.5,12.9722222222222,36.4,77.922620354,7227.0332943,345.75076581,14.729676666,7.589890176,3.7513917691,9.1,28,29,8,12260,14.70615156,9.4906263551,45,2220,0.354,0.2592,0.3066,0.2168,0.4556,0.2209,0.4323,0.0933,0.9793,0.3238,0.554,0.6428,0.51,0.7377,0.3687,0.702,0.2346,0.7463,0.263,0.3391
"16021",45,0.0040391347275828,11141,8.78124032155238,1,1,168.5,15.1666666666667,42.2,79.386956118,7105.2386866,323.44538633,15.334053547,4.8603929679,3.951820823,9.1,5,28.8,7.2,1710,14.428753013,18.157210914,5,756,0.4323,0.4015,0.5613,0.1363,0.6138,0.3438,0.6753,0.7529,0.7179,0.689,0.0837,0.3601,0.3327,0.4311,0.4464,0.5731,0.6377,0.7956,0.2763,0.1563
"16027",4061,0.0200264323263406,202782,345.221474541385,27,0.98046875,122.5,15.6111111111111,42.35,78.944664264,6388.3502209,324.26430559,17.453884201,6.8706164636,3.8966212976,9.8,61,34.9,7.8,23870,14.852530286,14.567805156,76,2949,0.7584,0.7848,0.6883,0.6937,0.8978,0.6479,0.5727,0.1111,0.9707,0.2926,0.7284,0.8313,0.6883,0.866,0.4374,0.5008,0.3973,0.8848,0.234,0.4021
"16029",29,0.00425656832526053,6813,3.86200488949493,0,1,130,8.88888888888889,31.7,78.327698234,6707.3626999,330.60215223,13.174179766,8.5803432137,3.4687509194,13.3,0,30,7.8,720,16.472467952,9.1050988554,3,2595,0.1888,0.1484,0.1563,0.0497,0.4362,0.149,0.3661,0.4476,0.9573,0.3795,0.0697,0.4448,0.2891,0.6224,0.2315,0.1942,0.4518,0.6189,0.3473,0.3461
"16039",184,0.00704899819944068,26103,8.48882451846586,3,1,126,16.7222222222222,34.6,78.221022507,6581.2825319,374.8271025,16.42678851,7.3819205505,3.8705627794,10.9,11,35.2,7,3520,17.32092872,13.520624303,18,3321,0.6132,0.6587,0.6558,0.5947,0.6759,0.5489,0.2607,0.0837,0.8956,0.2763,0.4422,0.8128,0.6536,0.8695,0.4559,0.3967,0.5575,0.7475,0.1404,0.6173
