"county","median_cases","median_ratiocases","median_total_population","median_population_density","median_deaths","mean_D_stay_at_home_effective","median_days_stay_at_home_effective","median_mean_temp","median_dewpoint","median_life_expectancy","median_years_of_potential_life_lost_rate","median_age_adjusted_death_rate","median_percent_fair_or_poor_health","median_percent_low_birthweight","median_average_number_of_physically_unhealthy_days","median_percent_adults_with_diabetes","median_num_hiv_cases","median_percent_adults_with_obesity","median_food_environment_index","median_num_food_insecure","median_percent_excessive_drinking","median_percent_uninsured","median_num_primary_care_physicians","median_preventable_hospitalization_rate","median_percentile_rank_social_vulnerability","median_percentile_rank_socioeconomic_theme","median_percentile_rank_below_poverty","median_percentile_rank_unemployed","median_percentile_rank_per_capita_income","median_percentile_rank_no_highschool_diploma","median_percentile_rank_household_comp_disability_theme","median_percentile_rank_age_65_and_older","median_percentile_rank_age_17_and_younger","median_percentile_rank_disabled","median_percentile_rank_single_parent_households","median_percentile_rank_minority_status_and_language_theme","median_percentile_rank_minorities","median_percentile_rank_limited_english_abilities","median_percentile_rank_housing_and_transportation","median_percentile_percentile_rank_multi_unit_housing","median_percentile_rank_mobile_homes","median_percentile_rank_overcrowding","median_percentile_rank_no_vehicle","median_percentile_rank_institutionalized_in_group_quarters"
"Newport News city",1481.5,0.00815777011772739,181606,2628.85551855678,15,0.961538461538462,119.5,20.6666666666667,59.25,76.727107866,8415.613268,431.91286644,19.107170499,9.7396630934,3.9473765614,13.9,678,34.6,7.1,29470,18.591606037,11.129868645,101,4689,0.7568,0.5084,0.5234,0.6937,0.4056,0.3601,0.4183,0.078,0.6278,0.2846,0.943,0.8914,0.9115,0.774,0.9064,0.9602,0.0844,0.6953,0.8609,0.7978
"Newton",192,0.0082893489433071,14022,34.9019077522407,11,0.965020576131687,117,18.6111111111111,57.7,75.381921826,10826.707433,490.39143076,19.712506006,7.3385518591,4.2688368773,16.8,8,30.6,8,1700,15.605088411,12.208021155,1,5274,0.2365,0.5116,0.3483,0.5552,0.5164,0.5734,0.2967,0.5237,0.4301,0.3445,0.4588,0.462,0.298,0.6469,0.0296,0.3384,0.1025,0.2814,0.0786,0.3607
"Nez Perce",123,0.00307538442305288,39995,47.1478694076778,19,1,125,16.7222222222222,41.6,77.567810785,7175.6466977,360.0950567,14.310009449,5.5885850178,4.0322992685,10.2,15,30.9,7.9,5260,19.962218266,10.631905105,30,3504,0.4082,0.3005,0.3664,0.3677,0.4333,0.1847,0.7342,0.6686,0.3397,0.6991,0.6129,0.2894,0.4295,0.2155,0.5762,0.7135,0.3973,0.5409,0.3986,0.6301
"Nicholas",34,0.00132074738763936,25743,39.7983943046,1,1,134.5,15.9166666666667,54.9,75.001619757,10470.118313,501.16319924,26.114491997,9.2209856916,5.7357043617,11.9,7,40.2,7.8,3590,11.662039186,7.8786320391,24,6765,0.446,0.6361,0.6227,0.6205,0.5011,0.6679,0.3855,0.7011,0.2076,0.8739,0.1003,0.0204,0.021,0.0691,0.6387,0.4419,0.9188,0.5352,0.8322,0.0589
"Nicollet",276,0.00830674772768314,33226,74.0626819504683,13,0.961240310077519,123.5,14.4444444444444,42.25,82.877019359,3561.5960101,196.19391667,11.085056071,5.614973262,2.8004363107,8.4,14,27.8,8.3,2920,23.256975051,4.2276546402,31,5989,0.1964,0.1137,0.2518,0.1067,0.2426,0.0672,0.0911,0.1964,0.4537,0.127,0.5228,0.4782,0.3575,0.6103,0.5591,0.8749,0.2114,0.1716,0.4734,0.9172
"Noble",124.5,0.00372047608915428,47587,115.828399568587,5,0.970472440944882,127.5,16.5,52.25,77.486299019,7802.7397121,368.89730763,16.66462878,6.7627236812,3.8421424125,11.3,23,38.2,8.8,4470,17.222568987,10.397615319,13,5699,0.5626,0.4858,0.2321,0.5256,0.5374,0.6211,0.6189,0.2229,0.8631,0.3337,0.745,0.611,0.4177,0.7752,0.5345,0.5817,0.4279,0.78,0.3986,0.4132
"Nobles",1754,0.0807216162731833,21729,30.3857577547533,6,1,133,16.5,48.6,81.812081636,4882.378136,276.86096593,16.162570273,5.1361867704,3.2256572642,10.9,20,33.4,8.5,1620,18.034470883,10.389176549,16,3598,0.7396,0.6039,0.398,0.5256,0.5059,0.8902,0.5037,0.3034,0.901,0.0981,0.7275,0.9296,0.7962,0.9774,0.6243,0.8475,0.0408,0.9121,0.4537,0.5097
"Nodaway",162,0.00703552505862938,23026,26.2565017386697,0,0.991769547325103,119,17.2222222222222,55.1,79.578887487,5824.1048617,303.68633616,19.209569553,6.4785118666,4.6692719813,8.7,11,35.1,5.5,3760,19.352245602,11.130775551,12,3230,0.277,0.568,0.9109,0.3018,0.8618,0.1178,0.0318,0.2022,0.0388,0.3025,0.3553,0.1675,0.2607,0.1605,0.5613,0.7077,0.2763,0.2245,0.4734,0.9691
"Nolan",137,0.00912299394020111,15017,16.4660672417903,3,1,134,24.7222222222222,53.7,75.478572411,9814.3887182,504.40737787,21.067346741,8.217270195,3.9777072228,18.9,19,35.9,7.3,2150,17.562277647,17.911958172,4,5657,0.8953,0.6683,0.6227,0.4241,0.6587,0.8023,0.9691,0.4683,0.8383,0.7068,0.894,0.8609,0.8297,0.7841,0.8052,0.6683,0.3085,0.7635,0.774,0.5947
"Norfolk",9604.5,0.0138950374556218,691218,1745.09131616342,966.5,0.920863309352518,116.5,15.0555555555556,47.25,81.718054362,4740.4408526,243.42141423,11.764851333,7.1178552961,3.0281321078,8.5,1252,23.2,9,50190,20.896199737,2.2627241308,889,4731,0.2076,0.0605,0.0325,0.4241,0.0067,0.0576,0.0312,0.3346,0.3773,0.057,0.1229,0.7784,0.6078,0.8516,0.645,0.9723,0.0108,0.3241,0.8609,0.6281
